"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.01320231457605e-285,4.38929287495936,0.291,0.023,1.92396987514846e-281,"0","NOG"
1.05542338201239e-264,4.35883991452447,0.269,0.02,2.00414346010332e-260,"0","LRRN3"
3.10937825561518e-217,3.03068999200806,0.324,0.058,5.90439836958767e-213,"0","CHRM3-AS2"
9.81258953386128e-263,2.91431939317456,0.408,0.081,1.86331262658492e-258,"0","TSHZ2"
4.64509290219258e-264,2.86307332075815,0.409,0.082,8.8205669119735e-260,"0","NELL2"
0,2.8441279903942,0.848,0.21,0,"0","CCR7"
0,2.77491116988763,0.782,0.19,0,"0","LEF1"
1.27135667689199e-165,2.73035902725798,0.295,0.066,2.4141791937502e-161,"0","FHIT"
4.56646295680492e-172,2.71565598709821,0.288,0.058,8.67125650867686e-168,"0","EPHX2"
8.36277307405327e-184,2.62005235702292,0.296,0.056,1.58800697903197e-179,"0","TMIGD2"
1.08193845641701e-183,2.68141068793433,0.348,0.072,2.05449293489025e-179,"1","CRIP2"
5.30767274463668e-268,2.23646760490992,0.644,0.203,1.00787397747906e-263,"1","AQP3"
1.82228052235058e-101,2.23354856034574,0.268,0.073,3.46032848389152e-97,"1","PASK"
3.86132489451996e-105,2.06038992657421,0.277,0.074,7.33226984220395e-101,"1","CMTM8"
1.52151209131567e-91,2.03134750890043,0.281,0.088,2.88919931019933e-87,"1","RNF214"
6.43792554737127e-88,1.90011171865323,0.36,0.142,1.22249768219033e-83,"1","RGS1"
1.14151418681051e-163,1.85921518908693,0.528,0.186,2.16762128933448e-159,"1","GATA3"
7.53773616359824e-197,1.85043954952558,0.633,0.258,1.43134072010567e-192,"1","TRADD"
6.07144878242284e-128,1.83793968795278,0.359,0.103,1.15290740929427e-123,"1","CD28"
2.68523226385135e-103,1.81352390276125,0.305,0.091,5.09898754582732e-99,"1","CD82"
0,5.75656571039409,0.883,0.062,0,"2","S100A12"
0,5.52113426584613,0.998,0.336,0,"2","S100A8"
0,5.45869727262647,0.478,0.02,0,"2","CLEC4E"
0,5.34986723898108,0.276,0.012,0,"2","CYP27A1"
0,5.32616132640687,0.316,0.015,0,"2","QPCT"
0,5.29789996160755,0.35,0.016,0,"2","NRG1"
0,5.27339565928185,0.363,0.017,0,"2","ALDH1A1"
0,5.15046119415777,0.925,0.081,0,"2","VCAN"
0,5.14496434057998,0.997,0.406,0,"2","S100A9"
0,5.13629252618826,0.408,0.025,0,"2","CYP1B1"
0,5.27204530190952,0.539,0.029,0,"3","ZNF683"
0,4.19914160347095,0.998,0.154,0,"3","GZMH"
5.70629267777919e-263,4.10159521046136,0.325,0.031,1.08356791658349e-258,"3","IFNG"
0,3.8968286640879,0.993,0.149,0,"3","FGFBP2"
0,3.81732624573353,0.62,0.063,0,"3","PRSS23"
0,3.66861457269499,0.683,0.075,0,"3","ADGRG1"
0,3.65394485194842,0.572,0.067,0,"3","FCRL6"
0,3.56390904003496,0.898,0.153,0,"3","CD8A"
0,3.52167565249688,0.874,0.14,0,"3","TRGC2"
1.45698264323133e-173,3.4482734872943,0.276,0.039,2.76666434123197e-169,"3","TTC16"
0,7.1142777463982,0.377,0.011,0,"4","C1QA"
0,6.69743270104799,0.832,0.03,0,"4","CDKN1C"
0,5.73841776036277,0.407,0.011,0,"4","CKB"
0,5.65257779396313,0.339,0.006,0,"4","CEACAM3"
0,5.4188732260643,0.411,0.013,0,"4","MS4A4A"
0,5.35079065871175,0.656,0.025,0,"4","HES4"
0,5.3318310383401,0.321,0.008,0,"4","ICAM4"
0,4.8288845030122,0.881,0.062,0,"4","TCF7L2"
0,4.71139519906158,0.332,0.012,0,"4","NEURL1"
0,4.39533486433576,0.631,0.05,0,"4","CTSL"
4.45967187935979e-291,4.73565145946781,0.484,0.05,8.4684709317163e-287,"5","TRGC1"
0,4.34670688602704,0.553,0.066,0,"5","TRDC"
1.96698734199176e-242,3.96649774711517,0.382,0.034,3.73511226370816e-238,"5","KLRC1"
0,3.80870179725834,0.597,0.075,0,"5","GZMK"
2.30131687124061e-303,2.87646723746649,0.835,0.175,4.36997060679879e-299,"5","KLRG1"
3.52253786576343e-141,2.85824478208011,0.334,0.047,6.68894715329817e-137,"5","LAG3"
3.90127744244792e-130,2.70857520100422,0.34,0.053,7.40813573546436e-126,"5","A2M-AS1"
6.794189380929e-173,2.50848485482682,0.831,0.331,1.29014862154461e-168,"5","DUSP2"
1.66326126803075e-137,2.43744281143624,0.418,0.077,3.15836682186359e-133,"5","COL6A2"
4.95920410582227e-275,2.42774180201868,0.992,0.344,9.41703267654592e-271,"5","CCL5"
0,9.2480832614074,0.776,0.008,0,"6","IGHD"
0,9.20461305641328,0.584,0.002,0,"6","CD24"
0,9.02112431019097,0.52,0.002,0,"6","FCRL1"
0,8.98974027486291,0.357,0.012,0,"6","IGLC3"
0,8.97233928616254,0.821,0.006,0,"6","VPREB3"
0,8.64606285519269,0.513,0.003,0,"6","LINC02397"
0,8.42120940715028,0.523,0.003,0,"6","PAX5"
0,8.40153097712779,0.615,0.004,0,"6","FCRLA"
0,8.39022156002264,0.497,0.002,0,"6","BLK"
0,8.35346804764399,0.709,0.008,0,"6","FCER2"
0,6.77479816687969,0.532,0.01,0,"7","SH2D1B"
0,6.71846298123571,0.936,0.023,0,"7","KLRF1"
0,5.71090310504592,0.362,0.009,0,"7","NCR1"
1.55702535639257e-213,5.41879628088697,0.257,0.008,2.95663544925385e-209,"7","RAMP1"
6.21891488449377e-131,5.24113060027149,0.306,0.027,1.18090974741652e-126,"7","MYOM2"
0,5.21075794400249,0.66,0.039,0,"7","CD160"
2.63961934009678e-220,5.17844608367779,0.294,0.011,5.01237316490977e-216,"7","NCAM1"
0,5.02913724300484,0.675,0.061,0,"7","IGFBP7"
2.52642354300489e-261,4.75550303774184,0.408,0.021,4.79742566581198e-257,"7","IL18RAP"
0,4.61148536822083,0.743,0.069,0,"7","XCL2"
0,8.49808435685996,0.852,0.014,0,"8","FCER1A"
0,7.87121239681455,0.617,0.003,0,"8","CD1E"
0,7.74336857286282,0.49,0.002,0,"8","MRC1"
0,7.14303230665862,0.819,0.024,0,"8","CD1C"
0,6.60032540384932,0.691,0.014,0,"8","ENHO"
0,6.58935882441662,0.872,0.03,0,"8","CLEC10A"
0,6.24221068679949,0.416,0.004,0,"8","PKIB"
0,6.22374419658939,0.329,0.003,0,"8","IL1R2"
0,5.83842697609895,0.51,0.008,0,"8","AC004817.3"
0,5.62980882502706,0.517,0.009,0,"8","FLT3"
4.04380098855883e-42,2.22229015216599,0.255,0.034,7.67877369717435e-38,"9","S1PR3"
1.32819617510739e-39,2.03615962633806,0.29,0.045,2.52211171691142e-35,"9","NLRP12"
2.35933925067877e-46,1.84390466043763,0.393,0.067,4.48014930311392e-42,"9","NRG1"
1.58247604798539e-61,1.82854614727025,0.69,0.158,3.00496376751945e-57,"9","CCL3L1"
9.54403232991892e-60,1.82683754609185,0.607,0.123,1.8123162991283e-55,"9","CD93"
3.35091810717557e-35,1.8209447558171,0.366,0.074,6.36305839371568e-31,"9","TFEC"
1.95348071472736e-42,1.81810162921154,0.386,0.071,3.70946452919578e-38,"9","ALDH1A1"
9.85054787618636e-48,1.79995590901892,0.469,0.095,1.87052053620903e-43,"9","EREG"
1.88878667110642e-33,1.78383618660219,0.331,0.065,3.58661700976398e-29,"9","ANPEP"
6.52540791920873e-29,1.7646634232774,0.303,0.063,1.23910970977855e-24,"9","HCAR3"
0,13.0291617724881,0.976,0.001,0,"10","SCT"
0,12.6333234655871,0.488,0,0,"10","SHD"
0,12.3141792937238,0.683,0,0,"10","AC097375.1"
0,11.8224377605681,0.39,0,0,"10","AL513493.1"
0,11.7368455478493,0.854,0,0,"10","LRRC26"
0,11.6385838242063,0.366,0,0,"10","CYYR1"
0,11.4550055284673,0.293,0,0,"10","KCNK10"
0,11.1844332691965,0.39,0,0,"10","LINC01724"
0,10.8274833109418,0.585,0,0,"10","EPHA2"
0,10.7725150589708,0.463,0,0,"10","KIRREL3"
0,10.9528168269837,0.417,0,0,"11","PBK"
0,10.7907478006435,0.542,0,0,"11","KIF4A"
0,10.6694311496279,0.417,0,0,"11","PIMREG"
0,10.5519546377056,0.583,0.001,0,"11","DLGAP5"
0,10.5278919086729,0.375,0,0,"11","DIAPH3"
0,10.2153602889775,0.5,0.001,0,"11","CDC20"
0,10.0518687453691,0.625,0.002,0,"11","UBE2C"
0,9.95930359846128,0.375,0,0,"11","CDC25C"
0,9.85564339588055,0.833,0.002,0,"11","GTSE1"
0,9.84133264868052,0.458,0.001,0,"11","CKAP2L"
0,13.3516481119721,0.792,0.001,0,"12","GP9"
0,12.9587457259257,0.833,0.001,0,"12","TMEM40"
0,12.9433631387318,0.25,0,0,"12","BEND2"
0,12.9170468331208,0.25,0,0,"12","CLEC2L"
0,12.7066205925238,0.333,0,0,"12","PEAR1"
0,12.3559837737666,0.333,0,0,"12","LTBP1"
0,12.2802949424757,0.792,0.002,0,"12","CMTM5"
0,12.2758570679513,1,0.007,0,"12","TUBB1"
0,12.1048939894828,0.292,0,0,"12","GATA1"
0,12.0890754397109,1,0.009,0,"12","PF4"
